id,name,slug,barcode,category,brand,aggregate_stock,is_available,stock_by_capacity_json,capacity_field,capacity_labels,capacity_pricing_detail
1580,Oettinger Weissbier 4.9%,oettinger-oettinger-weissbier-49-500ml,,Beer,Oettinger,10,true,,500ml,500ml,
62,254 Amberseli 330ml,254-craft-beers-254-amberseli-330ml-330ml,,Beer,254 Craft Beers,10,true,,330ml,330ml,
63,254 Samburu Saison,254-craft-beers-254-samburu-saison-330ml,,Beer,254 Craft Beers,10,true,,330ml,330ml,
181,Atlas 12,atlas-atlas-12-six-pack,,Beer,Atlas,10,true,,Six Pack,Six Pack,
182,Atlas 16,atlas-atlas-16-six-pack,,Beer,Atlas,10,true,,Six Pack,Six Pack,
183,Atlas Ultra Strong 14,atlas-atlas-ultra-strong-14-six-pack,,Beer,Atlas,10,true,,Six Pack,Six Pack,
242,Bateleur Dire Straits Pilsen,bateleur-dire-straits-pilsen-bateleur-dire-straits-pilsen-330ml,,Beer,Bateleur Dire Straits Pilsen,10,true,,330ml,330ml,
243,Bateleur Dirty Hairy Copper Ale,bateleur-dirty-hairy-copper-ale-bateleur-dirty-hairy-copper-ale-330ml,,Beer,Bateleur Dirty Hairy Copper Ale,10,true,,330ml,330ml,
244,Bateleur Honey Badger Blonde,bateleur-honey-badger-blonde-bateleur-honey-badger-blonde-330ml,,Beer,Bateleur Honey Badger Blonde,10,true,,330ml,330ml,
245,Bateleur Mantis Session Ale,bateleur-mantis-session-ale-bateleur-mantis-session-ale-330ml,,Beer,Bateleur Mantis Session Ale,10,true,,330ml,330ml,
246,Bavaria 0.0 Apple Beer,bavaria-bavaria-00-apple-beer-500ml,,Beer,Bavaria,10,true,,500ml,500ml,
248,Bavaria 0.0 Mango  Passion,bavaria-bavaria-00-mango-passion-500ml,,Beer,Bavaria,10,true,,500ml,500ml,
249,Bavaria 0.0% Original,bavaria-bavaria-00-original-six-pack,,Beer,Bavaria,10,true,,Six Pack,Six Pack,
250,Bavaria Black,bavaria-bavaria-black-six-pack,,Beer,Bavaria,10,true,,Six Pack,Six Pack,
251,Bavaria Original 8.6%,bavaria-bavaria-original-86-six-pack,,Beer,Bavaria,10,true,,Six Pack,Six Pack,
440,Capitan Bila Shaka,bila-shaka-capitan-bila-shaka-six-pack,,Beer,Bila-Shaka,10,true,,Six Pack,Six Pack,
521,Cliff Hanger black IPA beer,ipa-beer-cliff-hanger-black-ipa-beer-six-pack,,Beer,IPA-Beer,10,true,,Six Pack,Six Pack,
562,Corona Extra Beer,corona-extra-beer-corona-extra-beer-six-pack,,Beer,Corona-Extra-Beer,10,true,,Six Pack,Six Pack,
624,Desperados,desperados-desperados-six-pack,,Beer,desperados,10,true,,Six Pack | 12 PACK | 24 PACK,Six Pack | 12 PACK | 24 PACK,
857,Fruit Fly Mango IPA,fruit-fly-mango-ipa-fruit-fly-mango-ipa-330ml,,Beer,Fruit Fly Mango IPA,10,true,,330ml,330ml,
997,Guiness Smooth 330ml,guinness-guiness-smooth-330ml-six-pack,,Beer,Guinness,10,true,,Six Pack,Six Pack,
998,Guiness can,guinness-guiness-can-six-pack,,Beer,Guinness,10,true,,Six Pack | 12 PACK | 24 PACK | 1 piece,Six Pack | 12 PACK | 24 PACK | 1 piece,Six Pack@1800 | 12 PACK@3200 | 24 PACK@6200 | 1 piece@283
1000,Guinness smooth can,guinness-guinness-smooth-can-six-pack,,Beer,Guinness,10,true,,Six Pack | 12 PACK | 24 PACK,Six Pack | 12 PACK | 24 PACK,
1060,Hunter`s Cider,hunters-beer-hunters-cider-12-pack,,Beer,Hunters Beer,10,true,,12 PACK | Six Pack | 24 PACK,12 PACK | Six Pack | 24 PACK,
1061,Hunter`s Gold Cider,hunters-beer-hunters-gold-cider-six-pack,,Beer,Hunters Beer,10,true,,Six Pack | 12 PACK | 24 PACK,Six Pack | 12 PACK | 24 PACK,
1577,Obolon Strong 8.6%,obolon-strong-86-beer-obolon-strong-86-six-pack,,Beer,Obolon Strong 8.6% Beer,10,true,,Six Pack,Six Pack,
1646,Pilsner lager,pilsner-pilsner-lager-six-pack,,Beer,Pilsner,10,true,,Six Pack | 12 PACK | 24 PACK,Six Pack | 12 PACK | 24 PACK,
1795,Smirnoff Black ice,smirnoff-beer-smirnoff-black-ice-six-pack,,Beer,Smirnoff Beer,10,true,,Six Pack | 12 PACK | 24 PACK,Six Pack | 12 PACK | 24 PACK,
1800,Smirnoff Guarana,smirnoff-beer-smirnoff-guarana-six-pack,,Beer,Smirnoff Beer,10,true,,Six Pack | 12 PACK | 24 PACK | 1 can,Six Pack | 12 PACK | 24 PACK | 1 can,Six Pack@1500 | 12 PACK@2800 | 24 PACK@5000 | 1 can@100
